KCLT;Charlotte Douglas International Airport
KCQT;Los Angeles
KHOU;Houston
KIND;Indianapolis
KJAX;Jacksonville International Airport
KMDW;Chicago Midway International Airport
KNYC;New York City Central Park
KPHL;Philadelphia International Airport
KPHX;Phoenix Sky Harbor International Airport
KSEA;Seattle-Tacoma International Airport
